ชื่อย่อหลักทรัพย์,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,เบอร์โทรศัพท์,เบอร์โทรสาร,URL,พาร์,จำนวนหุ้นจดทะเบียน (ล้านหุ้น),มูลค่าหลักทรัพย์ตามราคาตลาด (ลบ.),ราคา (บาท/หุ้น),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท/หุ้น),P/BV (X),P/E (X),อัตราหมุนเวียนปริมาณการซื้อขาย (%),มูลค่าซื้อขาย/วัน (ลบ.),Beta,การเปลี่ยนแปลงของราคา (%),อัตราเงินปันผลตอบแทน (%),อัตราส่วนเงินปันผลต่อกำไร,นโยบายเงินปันผล,ผู้ถือหุ้นรายใหญ่,จำนวนหุ้น,สัดส่วนหุ้น,สินทรัพย์รวม,หนี้สินรวม,ส่วนของผู้ถือหุ้น,มูลค่าหุ้นที่เรียกชำระแล้ว,รายได้รวม,กำไร (ขาดทุน) จากกิจกรรมอื่น,กำไรสุทธิ,กำไรต่อหุ้น (บาท)
ADB,สินค้าอุตสาหกรรม,,252 หมู่ 4 ถนนสุขุมวิท ตำบลแพรกษา อำเภอเมืองสมุทรปราการ สมุทรปราการ 10280,0-2709-4040-9,0-2323-9195,http://www.adb.co.th,0.50 บาท,726.00,1096.26,1.51,0.93,1.62,29.06,89.54,10.79,0.92,-23.10,3.65,1.06,ไม่ต่ำกว่าร้อยละ 30 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคล และหลังหักสำรองต่างๆ ทุกประเภทตามกฎหมายกำหนด (โดยมีเงื่อนไขเพิ่มเติม),นาย หวัง วนาไพรสณฑ์,56856965,7.83,1658.83,982.60,676.23,363.00,554.35,2.47,-7.54,-0.01
ADD,บริการ,,เลขที่ 1 อาคารเอ็มไพร์ทาวเวอร์ ชั้น 41 ห้องเลขที่ 4106-7 ถนนสาทรใต้ แขวงยานนาวา เขตสาทร กทม. 10120,0-2835-3957-8,0-2835-3959,https://www.addtechhub.com,0.50 บาท,160.00,4280.00,26.75,3.57,7.50,45.82,83.61,40.35,0.91,-15.08,1.76,1.03,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิจากงบเฉพาะกิจการภายหลังหักภาษีเงินได้นิติบุคคล และเงินสำรองต่าง ๆ ทุกประเภทตามที่กำหนดไว้ในกฎหมายและข้อบังคับของบริษัท (โดยมีเงื่อนไขเพิ่มเติม),นาย ชวัล บุญประกอบทรัพย์,87006000,54.38,648.58,77.56,571.02,80.00,111.07,0.03,21.23,0.13
ADVANC,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,"อาคารเอไอเอส ทาวเวอร์ 1, 414 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กทม. 10400",0-2029-5000,0-2029-5165,http://investor.ais.co.th,1.00 บาท,2974.21,618635.63,208.00,25.42,8.18,23.27,21.57,1365.79,0.78,-9.57,3.70,0.86,ไม่ต่ำกว่าร้อยละ 70 ของกำไรสุทธิตามงบการเงินรวมแต่ต้องไม่เกินกำไรสะสมในงบการเงินเฉพาะกิจการ และ/หรือ มีผลกระทบอย่างมีนัยสำคัญต่อการดำเนินงานปกติของบริษัทและบริษัทย่อย โดยพิจารณาจ่ายปีละ 2 ครั้ง,บริษัท อินทัช โฮลดิ้งส์ จำกัด (มหาชน),1202712000,40.44,355783.44,280046.43,75611.10,2973.93,45488.15,-58.02,6310.84,2.12
AEONTS,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,"อาคารเอ็กเชน ทาวเวอร์ ชั้น 27, 388 ถนนสุขุมวิท แขวงคลองเตย เขตคลองเตย กทม. 10110","0-2665-0123, 0-2689-7197",0-2689-7007,http://www.aeon.co.th,1.00 บาท,250.00,46125.00,184.50,79.55,2.32,12.98,19.49,89.51,1.18,-2.12,2.79,0.36,ไม่ต่ำกว่าร้อยละ 30 ของกำไรสุทธิ (โดยมีเงื่อนไขเพิ่มเติม),"AEON FINANCIAL SERVICE CO.,LTD.",87800000,35.12,90469.39,70205.43,19888.71,250.00,19048.23,308.67,3553.04,14.21
AF,ธุรกิจการเงิน,,เลขที่ 319 อาคารจัตุรัสจามจุรี ชั้น 17 ถนนพญาไท เขตปทุมวัน กทม. 10330,0-2657-6222,"0-2657-6244, 0-2657-6245",http://www.airafactoring.co.th,0.25 บาท,1600.00,1856.00,1.16,0.34,3.41,37.23,162.41,35.43,0.73,0.87,2.16,0.80,ประมาณร้อยละ 50 ของกำไรสุทธิหลังจากการหักภาษีเงินได้นิติบุคคลและสำรองตามกฎหมาย,บริษัท ไอร่า แคปปิตอล จำกัด (มหาชน),1144751099,71.55,2305.95,1760.91,545.03,400.00,55.27,-,14.28,0.01
AFC,สินค้าอุปโภคบริโภค,แฟชั่น,"อาคารวอลล์สตรีททาวเวอร์ ชั้น 27, 33/133-136 ถนนสุรวงศ์ แขวงสุริยวงศ์ เขตบางรัก กทม. 10500",0-2632-7071-85,0-2236-1982,http://www.asiafiber.com,10.00 บาท,45.57,692.73,15.20,26.49,0.57,18.61,176.80,11.57,1.04,38.18,,-,ประมาณร้อยละ 70 ของกำไรสุทธิ หลังหักภาษีเงินได้ และเงินสำรองต่างๆ ทั้งนี้ ขึ้นอยู่กับภาวะทางเศรษฐกิจ สภาพคล่องและการลงทุนของบริษัท,บริษัท นำชัยศิริโฮลดิ้ง จำกัด,3866700,8.48,1538.81,331.47,1207.34,455.74,754.88,0.91,13.81,0.30
AGE,ทรัพยากร,พลังงานและสาธารณูปโภค,273/1 ถนนพระราม 2 แขวงแสมดำ เขตบางขุนเทียน กทม. 10150,0-2894-0088,"0-2894-0044, 0-2894-4267",http://www.agecoal.com,0.50 บาท,1087.75,4372.76,4.02,2.88,1.57,5.26,196.37,76.29,1.57,44.03,4.58,0.24,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิที่เหลือจากหักเงินสำรองต่างๆ ทุกประเภทตามที่ได้กำหนดไว้ในข้อบังคับของบริษัทตามกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),นาย พนม ควรสถาพร,173332142,17.93,6809.56,4004.76,2782.29,483.45,3716.99,5.25,314.56,0.29
AH,สินค้าอุตสาหกรรม,ยานยนต์,99 หมู่ 1 นิคมอุตสาหกรรมไฮเทค ตำบลบ้านเลน อำเภอบางปะอิน พระนครศรีอยุธยา 13160,0-3535-0880,0-3535-0881,http://www.aapico.com,1.00 บาท,354.84,8445.24,23.80,25.35,0.94,8.31,53.70,43.97,0.96,-11.85,3.95,0.33,ไม่ต่ำกว่าร้อยละ 10 ของกำไรสุทธิ,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,41301163,11.64,23771.95,14469.05,8996.60,354.84,6815.29,83.99,402.46,1.13
AHC,บริการ,การแพทย์,68/3 หมู่ 2 ถนนพระยาสัจจา ตำบลบ้านสวน อำเภอเมือง ชลบุรี 20000,"0-3827-3840-7, 0-3879-2500, 0-3879-2555",0-3827-3848,http://www.aikchol.com,1.00 บาท,149.91,2713.36,18.10,13.07,1.38,7.92,4.05,1.04,0.18,12.42,3.33,0.26,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิแต่ละปี,นาย อภิรักษ์ วานิช,16727392,11.16,2399.38,440.19,1959.20,149.91,529.23,-,94.35,0.63
AI,ทรัพยากร,พลังงานและสาธารณูปโภค,254 ถนนเสรีไทย แขวงคันนายาว เขตคันนายาว กทม. 10230,"0-2517-1451, 0-2517-1026, 0-2517-9447-8",0-2517-1465,http://www.asianinsulators.com,1.00 บาท,700.00,4619.99,6.60,3.94,1.68,11.15,19.21,9.40,1.31,-4.35,10.61,1.18,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิที่เหลือหลังจากการหักสำรองต่างๆทุกประเภทที่กฎหมายกำหนดไว้,นาย ณรงค์ ธารีรัตนาวิบูลย์,149057223,21.29,4526.86,824.42,2755.86,700.00,2653.94,0.54,91.10,0.13
AIE,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 55/2 หมู่ที่ 8 ถนนเศรษฐกิจ 1 ตำบลคลองมะเดื่อ อำเภอกระทุ่มแบน สมุทรสาคร 74110,0-3487-7485-8,0-3487-7491-2,http://www.aienergy.co.th,1.00 บาท,1316.23,5185.96,3.94,1.88,2.11,11.99,27.21,14.97,1.10,-9.63,6.31,0.76,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิที่เหลือหลังหักเงินสำรองตามกฎหมายตามที่ได้กำหนดไว้ในข้อบังคับบริษัท และกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),บริษัท เอเชียน อินซูเลเตอร์ จำกัด (มหาชน),808024872,61.77,3026.43,563.47,2462.96,1308.07,2354.01,-,119.50,0.09
AIMCG,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,เลขที่ 93/1 อาคารจีพีเอฟ วิทยุ อาคารบี ชั้น 8 ห้อง 803 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กทม. 10330,0-2254-0441-2,-,http://www.aimcgreit.com,9.93 บาท,288.00,1454.40,5.05,9.82,0.51,-,5.81,0.88,0.61,-13.68,1.39,,ไม่น้อยกว่าร้อยละ 90 ของกำไรสุทธิที่ปรับปรุงแล้วของรอบปีบัญชี (โดยมีเงื่อนไขเพิ่มเติม),-1.94,-1.12,-1.04,3244.01,415.77,-,-,72.86,-,-,-
AIMIRT,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,เลขที่ 93/1 อาคารจีพีเอฟ วิทยุ อาคารบีชั้น 8 ห้อง 803 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กทม. 10330,0-2254-0441-2,-,http://www.aimreit.com,10.00 บาท,595.48,7264.87,12.20,12.12,1.01,-,3.60,2.60,0.10,-8.96,6.21,,ไม่น้อยกว่าร้อยละ 90 ของกำไรสุทธิที่ปรับปรุงแล้วของรอบปีบัญชี โดยประโยชน์ตอบแทนที่จะจ่ายให้แก่ผู้ถือหน่วยทรัสต์นั้น ได้แก่ ประโยชน์ตอบแทนสำหรับรอบปีบัญชี (Year-End Distribution) (โดยมีเงื่อนไขเพิ่มเติม),-1.61,-0.79,-0.71,10051.18,2828.43,-,-,211.78,-,-,-
AIRA,ธุรกิจการเงิน,,319 อาคารจัตุรัสจามจุรี ชั้นที่ 12 ถนนพญาไท ปทุมวัน กทม. 10330,0-2080-2999,0-2160-5395,https://www.airacapital.co.th,0.25 บาท,6314.88,13766.44,2.18,0.59,3.72,133.80,2.52,3.60,0.43,4.81,,-,ไม่ต่ำกว่าร้อยละ 50 ของกำไรสุทธิหลังจากการหักภาษีเงินได้และหักสำรองต่างๆ ทุกประเภทตามที่กฎหมายกำหนด (โดยมีเงื่อนไขเพิ่มเติม),บริษัท เจ อาร์ เค โฮลดิ้งส์ จำกัด,2316497280,36.68,10323.06,5747.29,3700.59,1578.72,215.53,23.78,15.15,-
AIT,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,37/2 ถนนสุทธิสาร แขวงสามเสนนอก เขตห้วยขวาง กทม. 10320,0-2275-9400,"0-2275-9100, 0-2275-9200",http://www.ait.co.th,1.00 บาท,1031.60,6860.17,6.65,3.13,2.13,11.99,161.78,111.55,1.17,-16.35,6.62,0.79,ไม่ต่ำกว่าร้อยละ 40 ของกำไรสุทธิของงบการเงินเฉพาะกิจการและหลังจากหักภาษีเงินได้นิติบุคคล และเงินสำรองต่างๆ ทุกประเภทตามที่ได้กำหนดไว้ในข้อบังคับของบริษัทฯ และกฎหมาย,บริษัท ไทยเอ็นวีดีอาร์ จำกัด,67996104,6.59,5896.24,2668.82,3227.42,1031.60,1399.22,-,166.18,0.16
AJ,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,95 ถนนท่าข้าม แขวงแสมดำ เขตบางขุนเทียน กทม. 10150,"0-2415-0035, 0-2415-6059",0-2415-6068,http://www.ajplast.co.th,1.00 บาท,440.00,7216.00,16.40,11.15,1.47,15.43,33.48,25.35,0.87,-5.20,3.96,0.61,ไม่น้อยกว่าร้อยละ 30 ของกำไรสุทธิหลังจากการหักทุนสำรองตามกฎหมายแล้ว (โดยมีเงื่อนไขเพิ่มเติม),นาย กิตติภัต สุทธิสัมพัทน์,106814054,24.28,10739.22,5621.13,4904.97,440.00,2575.86,14.43,142.72,0.32
AJA,สินค้าอุปโภคบริโภค,ของใช้ในครัวเรือนและสำนักงาน,เลขที่ 427/2 ถนนพระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กทม. 10150,0-2451-6888,0-2451-5490,http://www.ajthai.com,0.10 บาท,5174.44,2121.52,0.41,0.17,2.35,,187.11,57.17,1.20,-32.72,,,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคลและทุนสำรองต่างๆ ทั้งหมดของบริษัท (โดยมีเงื่อนไขเพิ่มเติม),นาย อมร มีมะโน,530180596,10.26,1117.83,208.06,901.33,516.71,119.70,-0.03,10.56,-
AKP,บริการ,,792 หมู่ 2 ซอย 1 ซี/1 นิคมอุตสาหกรรมบางปู ซอย 1 ถนนสุขุมวิท ตำบลบางปูใหม่ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10280,0-2323-0714-21,0-2323-0724,http://www.akkhie.com,0.50 บาท,404.00,1171.60,2.90,1.47,1.98,35.62,355.70,44.61,1.58,36.79,1.72,0.61,ไม่ต่ำกว่าร้อยละ 50 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคล (โดยมีเงื่อนไขเพิ่มเติม),บริษัท เบตเตอร์ เวิลด์ กรีน จำกัด (มหาชน),206786000,51.18,718.16,126.12,592.04,202.00,79.04,3.34,0.41,-
AKR,ทรัพยากร,พลังงานและสาธารณูปโภค,"อาคารยู เอ็ม ทาวเวอร์ ชั้น 28, 9/291 ถนนรามคำแหง แขวงสวนหลวง เขตสวนหลวง กทม. 10250",0-2719-8777,02-719-8760-2,http://www.ekarat.co.th,0.80 บาท,1471.53,1515.68,1.03,0.88,1.17,17.54,152.76,23.16,1.00,-1.90,2.91,0.51,ประมาณร้อยละ 50 ของกำไรสุทธิ หลังหักภาษีเงินได้นิติบุคคลและสำรองตามกฎหมาย (ตามงบการเงินเฉพาะกิจการ) ในแต่ละปี (โดยมีเงื่อนไขเพิ่มเติม),บริษัท เควี แอสเซ็ท จำกัด,170000000,11.55,2006.85,705.57,1300.96,1177.23,354.30,-,20.20,0.01
ALL,อสังหาริมทรัพย์และก่อสร้าง,,4345 อาคารภิรัชทาวเวอร์ แอท ไบเทค ชั้น 18 ถนนสุขุมวิท แขวงบางนา เขตบางนา กทม. 10260,0-2029-9988,-,http://www.allinspire.co.th,0.50 บาท,1445.52,1864.72,1.29,1.44,0.97,,404.51,57.06,0.26,-9.15,,,ไม่ต่ำกว่าร้อยละ 40 ของกำไรสุทธิที่เหลือหลังจากหักเงินสำรองต่างๆ ทุกประเภทตามที่ได้กำหนดไว้ในนโยบายของบริษัท และตามกฎหมายที่เกี่ยวข้อง (โดยมีเงื่อนไขเพิ่มเติม),นาย ธนากร ธนวริทธิ์,715069720,53.23,7870.13,5937.89,1932.22,671.63,220.16,-16.77,-77.38,-0.12
ALLA,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,"เลขที่ 933, 935, 937, 939 ซอยอ่อนนุช 46 ถนนอ่อนนุช แขวงอ่อนนุช เขตสวนหลวง กทม. 10250","0-2322-0777, 0-2721-5699",0-2322-1891-2,http://www.alla.co.th,0.50 บาท,600.00,942.00,1.57,1.41,1.12,31.16,28.24,2.66,1.41,-9.25,3.18,0.99,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิของงบการเงินเฉพาะกิจการในแต่ละงวดบัญชีหลังจากหักภาษีเงินได้นิติบุคคลและเงินสำรองต่างๆ ทุกประเภทตามที่กฎหมายกำหนด โดยการจ่ายเงินปันผลดังกล่าวจะต้องไม่ขัดต่อกฎหมายพระราชบัญญัติบริษัทมหาชน,นาย องอาจ ปัณฑุยากร,203282300,33.88,1090.16,246.48,843.68,300.00,125.77,-,3.76,0.01
ALLY,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,888 ถ. ประดิษฐมนูธรรม แขวงคลองจั่น เขตบางกะปิ กทม. 10240,0-2101-5999,-,http://www.allyreit.com,9.7996 บาท,874.10,6074.99,6.95,9.67,0.72,-,3.78,2.13,0.66,-0.71,5.35,,ไม่น้อยกว่าร้อยละ 90 ของกำไรสุทธิที่ปรับปรุงแล้วของรอบปีบัญชี โดยจะจ่ายไม่น้อยกว่าปีละ2 ครั้ง และจะจ่ายภายใน 90 วันนับแต่วันสิ้นรอบปีบัญชี (โดยมีเงื่อนไขเพิ่มเติม),-,0.83,0.92,13406.33,4950.23,-,-,371.26,23.70,-,-
ALPHAX,สินค้าอุปโภคบริโภค,,98 อาคารอรรถกะวี 1 ชั้น 5 ซอยอารี ถนนสุขุมวิท 26 แขวงคลองตัน เขตคลองเตย กทม. 10110,0-2077-5853,-,http://www.alphadivisions.com,0.25 บาท,1913.98,3292.05,1.72,0.64,2.84,233.97,321.05,96.26,1.10,-4.44,,-,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิตามงบการเงินเฉพาะของบริษัทฯ หลังหักภาษีเงินได้นิติบุคคล เงินสำรองตามกฎหมาย และเงินสำรองต่าง ๆ ทั้งหมด (โดยมีเงื่อนไขเพิ่มเติม),นาย ธีร ชุติวราภรณ์,289590000,15.13,1544.57,242.35,1160.33,451.27,69.01,-,32.95,0.02
ALT,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,52/1 หมู่ที่ 5 ถนนบางกรวย - ไทรน้อย ตำบลบางสีทอง อำเภอบางกรวย นนทบุรี 11130,0-2863-8999,0-2886-3364,http://www.alt.co.th,0.50 บาท,1132.23,2943.79,2.60,1.49,1.74,,25.63,6.95,0.88,8.33,,,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิตามงบการเงินเฉพาะของบริษัทหลังหักทุนสำรองต่างๆ ทั้งหมดแล้ว (โดยมีเงื่อนไขเพิ่มเติม),บริษัท เอแอลที โฮลดิ้ง จำกัด,460183000,40.64,2805.89,1117.90,1687.74,566.11,292.60,-1.96,-7.51,-0.01
ALUCON,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,500 หมู่ 1 ซอยศิริคาม ถนนสุขุมวิท 72 ตำบลสำโรงเหนือ อำเภอเมือง สมุทรปราการ 10270,"0-2398-0147, 0-2398-4601","0-2398-3455, 0-2361-2511",http://www.alucon.th.com,10.00 บาท,43.20,8251.20,191.00,147.95,1.29,12.83,0.29,0.23,0.07,4.37,5.24,0.67,ห้ามมิให้แบ่งเงินปันผลจากเงินประเภทอื่นนอกจากเงินกำไรในกรณีที่บริษัทมียอดขาดทุนสะสมอยู่ห้ามมิให้แบ่งเงินปันผล เงินปันผลให้แบ่งตามจำนวนหุ้น หุ้นละเท่าๆกัน นโยบายเงินปันผล 50-70 เปอร์เซนต์ของกำไรสุทธิหลังหักภาษีเงินได้,"TAKEUCHI PRESS INDUSTRIES CO.,LTD.",30954329,71.65,7388.85,997.46,6391.39,432.00,1783.72,-0.39,133.87,3.10
